C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
346|* bet Oph                |PM*|17 43 28.3526482 +04 34 02.295484      | 5.150| 3.930| 2.750| 1.96 | 1.38 |K2IIICN0.5            | 443|   0
347|* 67 Oph                 |*  |18 00 38.7134668813 +02 55 53.595379606| 3.34 | 3.96 | 3.93 | 3.84 | 3.81 |B5I                   | 380|   0
348|* del Aql                |** |19 25 29.90139 +03 06 53.2061          | 3.72 | 3.68 | 3.36 | 3.11 | 2.95 |F1IV-V(n)             | 219|   0
349|* alf Ser                |PM*|15 44 16.0743159 +06 25 32.263272      | 5.080| 3.800| 2.630| 1.82 | 1.25 |K2IIIbCN1             | 484|   0
350|* bet Aql                |PM*|19 55 18.7925630 +06 24 24.342501      | 5.040| 4.560| 3.710| 3.05 | 2.56 |G8IV                  | 506|   0
351|* kap Oph                |LP?|16 57 40.0978499 +09 22 30.112596      | 5.52 | 4.36 | 3.20 | 2.36 | 1.82 |K2III                 | 277|   0
352|* 72 Oph                 |PM*|18 07 20.9839294 +09 33 49.850100      | 3.95 | 3.85 | 3.73 | 3.59 | 3.54 |A5V                   | 127|   0
353|* alf Aql                |dS*|19 50 46.99855 +08 52 05.9563          | 1.07 | 0.98 | 0.76 | 0.62 | 0.49 |A7Vn                  | 800|   0
354|* del Ser                |** |15 34 48.14762 +10 32 19.9248          |     ~| 4.05 | 3.79 |     ~|     ~|F0                    |  48|   0
355|* alf Oph                |** |17 34 56.06945 +12 33 36.1346          | 2.32 | 2.22 | 2.07 | 1.93 | 1.85 |A5IVnn                | 434|   0
356|* gam Aql                |*  |19 46 15.5802908 +10 36 47.740788      | 5.93 | 4.23 | 2.72 | 1.65 | 0.87 |K3II                  | 414|   0
357|* alf Her                |** |17 14 38.85818 +14 23 25.2262          |     ~| 4.51 | 3.06 |     ~|     ~|M5Ib-II+G5III+F2V:    | 183|   0
358|* zet Aql                |PM*|19 05 24.6080155 +13 51 48.518212      | 2.99 | 3.00 | 2.99 | 2.98 | 2.98 |A0IV-Vnn              | 314|   0
359|* bet Ser                |PM*|15 46 11.2543458 +15 25 18.595866      | 3.81 | 3.73 | 3.67 | 3.61 | 3.58 |A2IV                  | 164|   0
360|* gam Ser                |PM*|15 56 27.1826948 +15 39 41.820500      | 4.31 | 4.34 | 3.84 | 3.37 | 3.13 |F6V                   | 520|   0
361|* bet Del                |SB*|20 37 32.94130 +14 35 42.3195          | 4.16 | 4.07 | 3.63 | 3.23 | 2.99 |F5IV                  | 263|   0
362|* gam Her                |** |16 21 55.2144050 +19 09 11.261793      | 4.22 | 4.03 | 3.76 | 3.47 | 3.33 |A9IIIbn               | 163|   0
363|* 109 Her                |PM*|18 23 41.8896673559 +21 46 11.085401616| 6.18 | 5.02 | 3.84 | 2.99 | 2.39 |K2IIIab               | 164|   0
364|* del Sge                |SB*|19 47 23.2665287783 +18 32 03.520263112| 6.20 | 5.23 | 3.82 | 2.37 | 1.08 |M2II+B0V              | 190|   0
365|* gam Sge                |PM*|19 58 45.4286265 +19 29 31.728079      | 6.97 | 5.04 | 3.47 | 2.27 | 1.35 |M0-III                | 236|   0
366|* alf Del                |** |20 39 38.2872009 +15 54 43.463736      | 3.550| 3.740| 3.800| 3.77 | 3.81 |B9IV                  | 265|   0
367|* bet Her                |SB*|16 30 13.1995466 +21 29 22.600778      | 4.39 | 3.70 | 2.77 | 2.13 | 1.65 |G7IIIaFe-0.5          | 300|   0
368|* del Her                |SB*|17 15 01.91058 +24 50 21.1451          | 3.29 | 3.21 | 3.13 | 3.08 | 3.05 |A1IVn                 | 179|   0
369|V* HR Del                |No*|20 42 20.3467536529 +19 09 39.304605595|     ~|12.46 | 3.70 |12.69 |     ~|~                     | 454|   0
370|* mu. Her                |** |17 46 27.5266778 +27 43 14.437984      | 4.56 | 4.17 | 3.42 | 2.89 | 2.51 |G5IV                  | 632|   0
371|* gam CrB                |dS*|15 42 44.56551 +26 17 44.2847          |     ~| 3.84 | 3.84 |     ~|     ~|A0V                   | 195|   0
372|V* T CrB                 |Sy*|15 59 30.1619486506 +25 55 12.607985109| 2.69 | 2.10 | 2.00 |     ~|     ~|M3III+p               | 623|   0
373|* ksi Her                |LP*|17 57 45.8857114 +29 14 52.367509      | 5.34 | 4.64 | 3.70 | 3.01 | 2.55 |G8.5III               | 217|   0
374|* omi Her                |Be*|18 07 32.5507266 +28 45 44.967843      | 3.74 | 3.802| 3.827|     ~|     ~|B9.5III               | 138|   0
375|* bet Cyg A              |** |19 30 43.28052 +27 57 34.8483          |     ~| 4.171| 3.085|     ~|     ~|K3II+B9.5V            | 216|   0
376|* alf CrB                |Al*|15 34 41.26800 +26 42 52.8940          | 2.19 | 2.22 | 2.24 | 2.21 | 2.25 |A1IV                  | 448|   0
377|* zet Her                |SB*|16 41 17.16104 +31 36 09.7873          | 3.640| 3.430| 2.800| 2.31 | 1.99 |G0IV                  | 516|   0
378|* eps Her                |SB*|17 00 17.3737789 +30 55 35.056489      | 3.80 | 3.91 | 3.92 | 3.93 | 3.97 |A0V                   | 154|   0
379|* gam Lyr                |*  |18 58 56.6224137 +32 41 22.400295      | 3.140| 3.200| 3.250| 3.27 | 3.28 |B9III                 | 262|   0
380|* bet CrB                |a2*|15 27 49.7315305 +29 06 20.522375      | 4.08 | 3.97 | 3.68 | 3.50 | 3.45 |F2VpSrCrEuSi          | 641|   0
381|* bet Lyr                |bL*|18 50 04.7952472 +33 21 45.609978      | 2.85 | 3.42 | 3.42 | 3.31 | 3.29 |B8.5Ib-II             | 875|   0
382|* pi. Her                |V* |17 15 02.8343634 +36 48 32.984340      | 6.28 | 4.61 | 3.18 | 2.22 | 1.49 |K3II                  | 226|   0
383|* tet Her                |V* |17 56 15.1805442 +37 15 01.934351      | 6.70 | 5.23 | 3.88 | 2.98 | 2.38 |K1IIaCN2              | 203|   0
384|* alf Lyr                |dS*|18 36 56.33635 +38 47 01.2802          | 0.03 | 0.03 | 0.03 | 0.07 | 0.10 |A0Va                  |2448|   0
385|* eta Cyg                |*  |19 56 18.3722223 +35 05 00.322759      | 5.800| 4.910| 3.880| 3.19 | 2.66 |K0III                 | 263|   0
386|* del Boo                |PM*|15 15 30.1629518 +33 18 53.392558      | 5.12 | 4.44 | 3.49 | 2.76 | 2.25 |G8IIIFe-1             | 350|   0
387|* eta Her                |PM*|16 42 53.7650947 +38 55 20.112868      | 5.03 | 4.42 | 3.50 | 2.83 | 2.35 |G7IIIFe-1             | 267|   0
388|* eps Cyg                |** |20 46 12.6823609 +33 58 12.924926      | 4.370| 3.520| 2.480| 1.73 | 1.19 |K0III                 | 470|   1
389|* sig Pup                |SB*|07 29 13.8304917 -43 18 05.159662      | 6.54 | 4.77 | 3.25 | 2.04 | 1.12 |K5III                 | 117|   0
390|* alf Hor                |PM*|04 14 00.1144482 -42 17 39.723208      | 5.97 | 4.96 | 3.86 | 3.00 | 2.41 |K2III                 | 123|   0
391|* tet Eri                |** |02 58 15.6792190187 -40 18 16.845665574|     ~| 3.03 | 2.90 |     ~|     ~|A2V                   |  26|   0
392|* gam02 Vel              |WR*|08 09 31.95013 -47 20 11.7108          | 0.64 | 1.58 | 1.83 | 1.85 | 2.00 |WC8+O7.5III-V         | 824|   0
393|* tau Pup                |SB*|06 49 56.1684595 -50 36 52.443676      |     ~| 4.13 | 2.93 |     ~|     ~|K1III                 |  90|   0
394|* alf Car                |*  |06 23 57.10988 -52 41 44.3810          |-0.49 |-0.59 |-0.74 |-0.96 |-1.13 |A9II                  | 409|   0
395|* bet Pic                |PM*|05 47 17.0876901 -51 03 59.441135      | 4.13 | 4.03 | 3.86 | 3.74 | 3.58 |A6V                   |1568|   1
396|* psi Vel                |** |09 30 41.99958 -40 28 00.2616          | 3.89 | 3.96 | 3.60 | 3.24 | 3.02 |F3VFe-0.7             | 102|   0
397|* lam Vel                |LP*|09 07 59.75787 -43 25 57.3273          | 5.67 | 3.86 | 2.21 | 0.97 | 0.03 |K4Ib                  | 198|   0
398|* a Vel                  |*  |08 46 01.6439147 -46 02 29.504226      | 3.86 | 3.91 | 3.91 | 3.86 | 3.73 |A0II                  |  49|   0
399|* b Vel                  |V* |08 40 37.5701711 -46 38 55.476997      | 4.86 | 4.52 | 3.81 | 3.16 | 2.62 |F0Ia                  | 124|   0
400|* c Vel                  |PM*|09 04 09.2798814 -47 05 51.854750      | 6.16 | 4.95 | 3.75 | 2.93 | 2.33 |K2III                 |  55|   0
401|* chi Car                |bC*|07 56 46.7232212143 -52 58 56.394323256| 2.64 | 3.267| 3.431|     ~|     ~|B3IV                  | 135|   0
402|* alf Dor                |a2*|04 33 59.77719 -55 02 41.9243          | 2.83 | 3.18 | 3.28 | 3.29 | 3.38 |B8IIIpSi              | 134|   0
403|* omi Vel                |Pu*|08 40 17.5855320 -52 55 18.800233      | 2.8  | 3.44 | 3.63 |     ~|     ~|B3/5(V)               | 159|   0
404|V* R Hor                 |Mi*|02 53 52.7746504509 -49 53 22.732999275|     ~|     ~| 3.92 | 4.99 | 1.51 |M5-7e                 | 166|   0
405|* q Vel                  |PM*|10 14 44.1557297 -42 07 18.993292      | 3.98 | 3.90 | 3.85 | 3.83 | 3.81 |A2Va                  | 114|   0
406|* del Vel                |Al*|08 44 42.22658 -54 42 31.7493          |     ~| 2.00 | 1.95 |     ~|     ~|A2IV+A4V+F8V          | 180|   0
407|* eps Car                |** |08 22 30.83526 -59 30 34.1431          |     ~| 3.156| 1.953|     ~|     ~|K3:III+B2:V           |  80|   0
408|* alf Pic                |PM*|06 48 11.45512 -61 56 29.0008          |     ~| 3.48 | 3.30 |     ~|     ~|A8VnkA6               | 155|   0
409|* bet Dor                |cC*|05 33 37.5125319201 -62 29 23.323100433| 5.13 | 4.58 | 3.76 | 3.55 | 3.12 |F8/G0Ib               | 335|   0
410|* kap Vel                |SB*|09 22 06.8176100 -55 00 38.401683      | 1.5  | 2.324| 2.473|     ~|     ~|B2IV-V                | 148|   0
411|* alf Ret                |PM*|04 14 25.4841381 -62 28 25.891671      | 4.90 | 4.27 | 3.36 | 2.71 | 2.27 |G8IIIa:               | 103|   0
412|* phi Eri                |PM*|02 16 30.5856318 -51 30 43.795513      | 3.06 | 3.45 | 3.57 | 3.64 | 3.75 |B8IV                  | 127|   0
413|* phi Vel                |*  |09 56 51.7416742 -54 34 04.039043      | 2.81 | 3.35 | 3.45 | 3.51 | 3.59 |B5Ib                  | 119|   0
414|* N Vel                  |V* |09 31 13.3189137 -57 02 03.757780      |     ~| 4.691| 3.139|     ~|     ~|K5III                 |  84|   0
415|* a Car                  |SB*|09 10 58.0863884 -58 58 00.817205      | 2.56 | 3.25 | 3.40 |     ~|     ~|B2IV-V                | 125|   0
416|* iot Car                |V* |09 17 05.4068572 -59 16 30.835305      | 2.60 | 2.44 | 2.26 | 2.02 | 1.82 |A7Ib                  | 144|   0
417|* c Car                  |PM*|08 55 02.8282209 -60 38 40.599812      | 3.28 | 3.74 | 3.80 |     ~|     ~|B8/9II                |  63|   0
418|* del Vol                |*  |07 16 49.8238716 -67 57 25.748362      | 5.23 | 4.78 | 3.99 | 3.33 | 2.95 |F8Ib/II               |  79|   0
419|* bet Ret                |SB*|03 44 11.9860371304 -64 48 24.778354082|     ~| 4.968| 3.833|     ~|     ~|K2-IIIb               | 100|   0
420|* chi Eri                |PM*|01 55 57.4560628051 -51 36 31.973553224|     ~| 4.55 | 3.70 |     ~|     ~|G8IIIbCNIV            | 125|   0
421|* gam Phe                |SB*|01 28 21.9272669 -43 19 05.650173      |     ~| 4.98 | 3.41 |     ~|     ~|M0III                 | 130|   0
422|* p Vel                  |SB*|10 37 18.13995 -48 13 32.2349          | 4.19 | 4.13 | 3.84 | 3.57 | 3.41 |A3/5                  | 114|   0
423|* i Car                  |*  |09 11 16.7208929 -62 19 01.129500      | 3.13 | 3.774| 3.943|     ~|     ~|B3V                   | 100|   0
424|* alf Vol                |** |09 02 26.7959209 -66 23 45.872743      |     ~| 4.144| 3.990|     ~|     ~|kA3hA5mA5V            |  95|   1
425|* bet Vol                |PM*|08 25 44.1947206 -66 08 12.804954      |     ~| 4.896| 3.759|     ~|     ~|K2III                 |  74|   0
426|* gam02 Vol              |PM*|07 08 44.8636348625 -70 29 56.123442258|     ~| 4.774| 3.746|     ~|     ~|K0III                 |  60|   0
427|* del Phe                |PM*|01 31 15.1047497 -49 04 21.730837      |     ~| 4.918| 3.935|     ~|     ~|G8.5IIIb              | 106|   0
428|* mu. Vel                |** |10 46 46.17877 -49 25 12.9244          | 4.16 | 3.59 | 2.69 | 2.01 | 1.52 |G6III                 | 169|   0
429|* l Car                  |cC*|09 45 14.8099882761 -62 30 28.459662693|     ~| 4.33 | 3.40 |     ~|     ~|G5Iab/b               | 275|   1
430|* zet Vol                |*  |07 41 49.2610042 -72 36 21.956661      |     ~| 4.977| 3.944|     ~|     ~|G9IIIb                |  58|   0
431|* alf Hyi                |PM*|01 58 46.1946699 -61 34 11.494778      | 3.33 | 3.13 | 2.84 | 2.55 | 2.39 |F0IV                  | 196|   0
432|* bet Phe                |** |01 06 05.03952 -46 43 06.2785          | 4.75 | 4.19 | 3.30 | 2.59 | 2.08 |G8III                 |  77|   0
433|* s Car                  |V* |10 27 52.7287652 -58 44 21.850672      |     ~| 4.111| 3.810|     ~|     ~|F2II                  |  82|   0
434|* q Car                  |LP*|10 17 04.9753050 -61 19 56.288301      |     ~| 4.899| 3.350|     ~|     ~|K2.5II                | 120|   0
435|* p Car                  |Be*|10 32 01.4629679 -61 41 07.196308      | 2.46 | 3.18 | 3.27 | 3.22 | 3.28 |B4Vne                 | 216|   0
436|* bet Car                |PM*|09 13 11.97746 -69 43 01.9473          | 1.72 | 1.69 | 1.69 | 1.63 | 1.61 |A1III-                | 206|   0
437|* gam Hyi                |PM*|03 47 14.3406211 -74 14 20.268608      | 6.87 | 4.88 | 3.26 | 1.92 | 0.82 |M1III                 |  78|   0
438|* u Car                  |PM*|10 53 29.6552368 -58 51 11.416313      | 5.39 | 4.74 | 3.79 | 3.07 | 2.57 |K0IV                  |  84|   0
439|* tet Car                |SB*|10 42 57.4019674 -64 23 40.020796      | 1.53 | 2.54 | 2.76 | 2.87 | 3.10 |B0Vp                  | 311|   0
440|* ome Car                |Be*|10 13 44.2173938 -70 02 16.456305      | 2.92 | 3.25 | 3.33 | 3.29 | 3.32 |B8IIIe                | 106|   0
441|* pi. Cen                |** |11 21 00.40615 -54 29 27.6654          |     ~| 3.743| 3.90 |     ~|     ~|B5Vn                  | 110|   1
442|* x Car                  |cC*|11 08 35.3899998 -58 58 30.135741      | 6.07 | 5.09 | 3.83 | 2.86 | 2.27 |G5_0-Ia               | 138|   0
443|* lam Cen                |*  |11 35 46.8790838328 -63 01 11.396483522| 2.96 | 3.10 | 3.14 | 3.10 | 3.11 |B9III                 | 119|   0
444|* lam Mus                |PM*|11 45 36.4191583 -66 43 43.543945      | 3.96 | 3.81 | 3.65 | 3.51 | 3.43 |A7V                   |  77|   0
445|* bet Hyi                |PM*|00 25 45.07036 -77 15 15.2860          | 3.52 | 3.41 | 2.79 | 2.28 | 1.94 |G0V                   | 520|   0
446|* eps Phe                |PM*|00 09 24.6391947845 -45 44 50.713442446| 5.73 | 4.89 | 3.87 | 3.11 | 2.59 |K0III                 |  88|   0
447|* del Cen                |Be*|12 08 21.5224160732 -50 43 20.690060358| 1.51 | 2.39 | 2.52 | 2.48 | 2.62 |B2Vne                 | 288|   0
448|* rho Cen                |*  |12 11 39.1280508829 -52 22 06.406712492| 3.20 | 3.81 | 3.96 | 4.05 | 4.21 |B3V                   | 117|   0
449|* del Cru                |bC*|12 15 08.7167245 -58 44 56.136936      | 1.63 | 2.568| 2.752|     ~|     ~|B2IV                  | 190|   0
450|* gam Mus                |Pu*|12 32 28.0134336 -72 07 58.759701      | 3.12 | 3.73 | 3.88 | 3.91 | 4.08 |B3V                   | 132|   0
451|* gam Cru                |PM*|12 31 09.95961 -57 06 47.5684          | 5.01 | 3.23 | 1.64 |-0.02 |-1.44 |M3.5III               | 255|   0
452|* eps Cru                |PM*|12 21 21.6093625 -60 24 04.129070      |     ~| 5.01 | 3.59 |     ~|     ~|K3III                 |  77|   0
453|* bet Mus                |** |12 46 16.80410 -68 06 29.2164          | 2.13 | 2.91 | 3.07 |     ~|     ~|B2V                   | 106|   1
454|* alf Mus                |** |12 37 11.0178886 -69 08 08.033239      | 1.62 | 2.484| 2.649|     ~|     ~|B2IV                  | 137|   0
455|* del Mus                |SB*|13 02 16.2647362 -71 32 55.875239      |     ~| 4.80 | 3.62 |     ~|     ~|K2III                 |  56|   0
456|* tau Cen                |PM*|12 37 42.1634721166 -48 32 28.709954610| 3.94 | 3.91 | 3.86 | 3.81 | 3.77 |A1IVnn                |  93|   0
457|* sig Cen                |** |12 28 02.3820785 -50 13 50.287232      | 2.95 | 3.72 | 3.91 | 4.02 | 4.22 |B2V                   | 140|   0
458|* bet Cru                |bC*|12 47 43.26877 -59 41 19.5792          | 0.03 | 1.02 | 1.25 | 1.38 | 1.64 |B1IV                  | 322|   0
459|* alf Aps                |*  |14 47 51.7120247 -79 02 41.103245      |     ~| 5.247| 3.798|     ~|     ~|K3IIICN0.5            |  58|   0
460|* nu. Oct                |SB*|21 41 28.5420355132 -77 23 24.031541832|     ~| 4.745| 3.728| 5.46 |     ~|K1III                 | 105|   1
461|* gam Tuc                |PM*|23 17 25.7507806263 -58 14 08.707239934| 4.35 | 4.37 | 3.98 | 3.57 | 3.33 |F4V                   | 142|   0
462|* gam Cen                |** |12 41 31.04008 -48 57 35.5375          | 2.15 | 2.16 | 2.17 | 2.14 | 2.14 |A1IV+A0IV             | 115|   1
463|* gam Aps                |PM*|16 33 27.0837870 -78 53 49.737204      |     ~| 4.783| 3.854|     ~|     ~|G8III                 |  81|   0
464|* alf Tuc                |SB*|22 18 30.0947834 -60 15 34.526307      | 5.75 | 4.18 | 2.82 | 1.76 | 1.02 |K3III                 | 118|   0
465|* eps Gru                |SB*|22 48 33.2983075490 -51 19 00.732184713|     ~| 3.556| 3.466|     ~|     ~|A2IVn                 | 112|   0
466|* iot Gru                |SB*|23 10 21.5375522 -45 14 48.164650      |     ~| 4.877| 3.877|     ~|     ~|K1III                 |  67|   0
467|* bet Cen                |bC*|14 03 49.40535 -60 22 22.9266          |     ~| 0.38 | 0.60 |     ~|     ~|B1III                 | 333|   1
468|* gam TrA                |PM*|15 18 54.5819834 -68 40 46.365362      | 2.87 | 2.89 | 2.89 |     ~|     ~|A1V                   | 115|   0
469|* eps Pav                |PM*|20 00 35.5555788 -72 54 37.819779      |     ~| 3.927| 3.940|     ~|     ~|A0Va                  | 104|   0
470|* eps Cen                |bC*|13 39 53.25774 -53 27 59.0081          | 1.16 | 2.08 | 2.30 | 2.45 | 2.70 |B1III                 | 236|   0
471|* alf Cir                |a2*|14 42 30.4195804 -64 58 30.493451      | 3.55 | 3.43 | 3.19 | 2.96 | 2.86 |A7VpSrCrEu            | 318|   0
472|* bet Pav                |*  |20 44 57.4939895 -66 12 11.570756      |     ~| 3.577| 3.408|     ~|     ~|A7III                 |  65|   0
473|* bet Gru                |LP?|22 42 40.05027 -46 53 04.4752          | 5.33 | 3.73 | 2.11 | 0.20 |-1.57 |M4.5III               | 188|   0
474|* alf Cen A              |SB*|14 39 36.49400 -60 50 02.3737          | 0.96 | 0.72 | 0.01 |     ~|     ~|G2V                   |1088|   0
475|* alf Cen B              |PM*|14 39 35.06311 -60 50 15.0992          | 2.89 | 2.21 | 1.33 |     ~|     ~|K1V                   | 846|   1
476|* alf TrA                |*  |16 48 39.89508 -69 01 39.7626          |     ~| 3.36 | 1.92 |     ~|     ~|K2III_Ba1             | 226|   0
477|* del Pav                |PM*|20 08 43.6094697 -66 10 55.443275      | 4.78 | 4.32 | 3.56 | 2.95 | 2.61 |G8IV                  | 333|   0
478|* del01 Gru              |*  |22 29 16.1748102 -43 29 44.024527      | 5.80 | 5.00 | 3.97 | 3.22 | 2.71 |G6/8III               |  73|   1
479|* zet Cen                |SB*|13 55 32.38565 -47 17 18.1482          | 1.42 | 2.33 | 2.55 | 2.69 | 2.89 |B2.5IV                | 163|   0
480|* bet TrA                |PM*|15 55 08.5620636 -63 25 50.615531      | 3.19 | 3.14 | 2.85 | 2.53 | 2.38 |F1V                   | 142|   0
481|* del TrA                |*  |16 15 26.2697841 -63 41 08.449198      |     ~| 4.943| 3.839|     ~|     ~|G2Ib-IIa              |  96|   0
482|* eta Pav                |PM*|17 45 43.9860472 -64 43 25.939391      |     ~| 4.769| 3.581|     ~|     ~|K2II                  |  36|   0
483|* bet Ind                |*  |20 54 48.6027789 -58 27 14.961814      | 6.13 | 4.90 | 3.65 |     ~|     ~|K1II                  |  66|   0
484|* alf Gru                |PM*|22 08 13.98473 -46 57 39.5078          | 1.11 | 1.58 | 1.71 | 1.75 | 1.83 |B6V                   | 280|   0
485|* nu. Cen                |SB*|13 49 30.2764388 -41 41 15.752069      | 2.31 | 3.188| 3.386|     ~|     ~|B2IV                  | 177|   0
486|* mu. Cen                |Be*|13 49 36.9886294 -42 28 25.429594      | 2.37 | 3.27 | 3.43 | 3.41 | 3.50 |B2Vnpe                | 405|   0
487|* ups01 Cen              |V* |13 58 40.7486851 -44 48 12.908967      | 2.87 | 3.67 | 3.87 | 4.01 | 4.22 |B2IV-V                | 132|   0
488|* alf Pav                |SB*|20 25 38.85705 -56 44 06.3230          | 1.03 | 1.791| 1.918|     ~|     ~|B2IV                  | 261|   0
489|* phi Cen                |V* |13 58 16.2668006 -42 06 02.714311      | 2.79 | 3.608| 3.802|     ~|     ~|B2IV                  | 127|   0
490|* iot Lup                |V* |14 19 24.2221950 -46 03 29.143666      | 2.65 | 3.355| 3.529|     ~|     ~|B2.5IV                | 101|   0
491|* alf Lup                |bC*|14 41 55.7557866 -47 23 17.515486      | 1.22 | 2.126| 2.286|     ~|     ~|B1.5III               | 220|   0
492|* zet Lup                |PM*|15 12 17.0959556 -52 05 57.291916      | 4.99 | 4.33 | 3.41 |     ~|     ~|G8III                 |  95|   0
493|* eta Ara                |*  |16 49 47.1565275 -59 02 28.957499      |     ~| 5.306| 3.744|     ~|     ~|K5III                 |  57|   0
494|* del Ara                |PM*|17 31 05.9127207 -60 41 01.852144      | 3.21 | 3.52 | 3.62 |     ~|     ~|B8Vn                  |  81|   0
495|* kap Lup                |Be*|15 11 56.0760514972 -48 44 16.127509644| 3.55 | 3.67 | 3.70 | 3.75 | 3.76 |B9.5Vne               |  84|   0
496|* zet Ara                |*  |16 58 37.2121689 -55 59 24.520302      |     ~| 4.701| 3.076|     ~|     ~|K3III                 |  83|   0
497|* gam Ara                |Be*|17 25 23.6593111 -56 22 39.814775      | 2.25 | 3.21 | 3.34 |     ~|     ~|B1Ib                  | 247|   0
498|* eta Cen                |Be*|14 35 30.4241610 -42 09 28.170782      | 1.30 | 2.12 | 2.31 | 2.41 | 2.59 |B2Ve                  | 315|   0
499|* bet Ara                |*  |17 25 17.9883527 -55 31 47.586765      | 5.87 | 4.31 | 2.85 |     ~|     ~|K0/1Ib                | 107|   0
500|* alf Ind                |PM*|20 37 34.0320077 -47 17 29.402601      | 4.90 | 4.11 | 3.11 |     ~|     ~|K0III-IV              | 119|   0
501|* kap Cen                |Pu*|14 59 09.6849382 -42 06 15.106919      | 2.15 | 2.93 | 3.13 |     ~|     ~|B2IV                  | 186|   1
502|* bet Lup                |PM*|14 58 31.92536 -43 08 02.2699          | 1.59 | 2.46 | 2.68 | 2.78 | 2.95 |B2III                 | 175|   0
503|* eps Lup                |SB*|15 22 40.8682566 -44 41 22.614637      | 2.46 | 3.191| 3.366|     ~|     ~|B2IV-V                | 144|   1
504|* del Lup                |bC*|15 21 22.3252367778 -40 38 51.022228791| 2.12 | 2.995| 3.190|     ~|     ~|B1.5IV                | 199|   0
505|* alf Ara                |Be*|17 31 50.4915282 -49 52 34.122041      | 2.09 | 2.78 | 2.95 | 3.05 | 3.29 |B2Vne                 | 237|   0
506|* tet Ara                |*  |18 06 37.8712898 -50 05 29.312523      | 2.73 | 3.58 | 3.66 |     ~|     ~|B2Ib                  | 172|   0
507|* gam Lup                |SB*|15 35 08.44835 -41 10 00.3247          | 1.76 | 2.586| 2.765|     ~|     ~|B2IV                  | 162|   1
508|* alf Tel                |PM*|18 26 58.4160403 -45 58 06.449765      | 2.7  | 3.299| 3.463|     ~|     ~|B3IV                  | 124|   0
509|* omi01 Cyg              |Al*|20 13 37.90654 +46 44 28.7808          | 5.50 | 5.08 | 3.80 | 2.83 | 2.07 |K3Ib+B2IV-V           | 344|   1
510|* tau Her                |** |16 19 44.43666 +46 18 48.1123          | 3.190| 3.750| 3.900| 4.00 | 4.16 |B5IV                  | 380|   1
511|* alf CMa                |** |06 45 08.91728 -16 42 58.0171          |-1.51 |-1.46 |-1.46 |-1.46 |-1.43 |A1V+DA                |1336|   1
512|* alf Eri                |Be*|01 37 42.84548 -57 14 12.3101          |-0.36 | 0.30 | 0.46 | 0.49 | 0.60 |B6Vpe                 | 430|   0
#================================================================================
#
